RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
9,California,1,23418,28506,31284,32960,36582,35222,36309,38736,29148,35772,28909,28829,35683,37036,36898,41601,42077,36726,37277,38362,32751,37981,26515,27186,36453,36109,38193,39929,33293,32601,32274,30205,29094,34452,26486,26128,36280,34333,34442,38350,33687,36713,33770,31267,30747,34462,26963,28983,36680,35727,40379,39640,37094,39565,31910,37194,34190,37517,28956,29412,37144,39366,43088,39924,42698,42264,35460,37402,32004,33922,27202,26979,33255,39124,39780,39798,40974,38854,36395,38577,30169,35218,26597,27145,37259,41954,42447,47471,46989,42197,40918,39197,31207,39295,28083,29132,38966,41113,43136,47647,42191,45155,41582,40316,39340,39976,31051,29837,42404,40127,47057,51676,43718,48361,42004,41532,38137,37500,29719,30171,41004,42181,46524,46633,43935,44853,34292,38796,33345,30855,
54,Texas,2,23576,25678,26333,27535,28006,25025,21217,21718,15317,18987,14742,16348,21490,21063,21647,25579,26838,23460,22376,22113,21663,21484,14361,16418,23898,25227,26171,27606,20784,20978,18753,17682,17296,18768,15525,14795,21622,20723,22813,23948,21563,24456,19853,18285,17526,19287,14592,17144,21507,20920,25847,25808,25988,25490,20204,22932,18407,20716,18020,18860,24142,29552,30317,29235,32256,31654,26410,25606,21199,23647,18856,19141,25836,28574,30934,32227,32539,26793,29874,28488,22081,27177,19578,19946,29593,28392,31060,36145,35309,32130,30851,28801,22102,28802,21188,24047,31461,30808,33496,37537,34038,36383,31837,28651,27380,29714,23343,24619,34134,31110,38042,39286,35680,36065,31469,32231,29106,30359,25576,26396,33151,35859,40788,39745,38969,39509,31746,32577,26734,26103,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9408,8549,8224,9857,9721,9786,11622,11765,12414,10195,9051,8145,8673,7984,6881,7652,7930,9378,10799,10673,11119,10184,9999,8618,9015,9129,7617,8400,8915,10752,10905,12573,14639,13057,12934,10790,11872,9832,7907,9072,9376,11595,12241,14200,14135,13050,14117,10738,12827,9930,9324,10555,10524,10984,14077,16227,15770,15798,14927,13227,14468,11506,11416,13557,12375,13533,16356,16490,18629,17199,15685,14922,15970,13853,13446,15185,14353,16988,19308,17912,21997,18131,18450,16595,16961,15375,13073,13554,13336,15532,16950,18170,20375,16989,19558,17301,,
14,Florida,4,17441,19492,19712,20466,20890,17541,17767,18122,13729,18151,16230,16203,21391,21865,22659,25703,25722,23117,23196,24643,22003,26320,20596,19237,28319,27686,26851,29872,26025,23755,23284,22598,20881,26482,23870,22893,30924,29969,28793,29447,26051,27715,24241,22633,22628,25567,21692,22232,28497,29872,31289,29697,29212,29164,25055,30007,26989,30471,27997,27081,32972,37847,38326,36951,38325,36640,32188,34269,28995,34413,28970,28784,35975,39847,40570,39980,40900,37426,35958,38765,32155,40596,30030,32327,43278,45130,43077,48993,46401,41211,40718,38852,33335,40163,30494,32780,41301,41688,42833,46419,40596,42511,36891,35827,35270,39947,31983,32897,45302,42444,48957,49429,43684,46044,31056,38882,35322,39769,34937,34196,44841,46234,48873,47934,45787,45932,37299,40850,37060,36669,
21,Illinois,5,11619,12942,13677,15007,16193,14757,13953,13404,9198,9907,8035,7395,10020,10887,11160,13738,14995,13633,13653,14728,13488,13527,9556,8576,12116,13524,14240,16604,13628,12318,10821,10109,9689,10318,9196,7417,10478,9978,11620,13872,11831,14183,11805,10994,10519,11112,9943,8696,10959,11276,13541,15128,13542,16367,11928,12611,10838,11001,11748,9098,10972,13370,14009,15169,18842,17937,15324,17306,14161,13888,13036,10326,12133,15369,16207,18278,18480,16847,18639,19064,12946,15492,11586,10496,14240,16018,16851,21992,22923,23719,21863,20638,15420,17057,13957,13922,16982,19076,21568,25881,24047,25979,21374,19497,17450,18009,15629,12905,18773,18567,23278,25453,22490,25708,19797,19458,17819,16170,14044,11641,16250,18693,21768,24510,22248,21609,17501,18611,16325,15390,
47,Pennsylvania,6,10043,11087,11914,13317,13703,12488,11463,11220,8673,9152,6498,5874,7951,8777,9389,12023,13025,12124,11583,11805,11635,11415,6417,5906,9583,10539,11350,14882,11564,9606,9339,8867,8306,9403,7004,6433,8716,8351,9733,11938,10550,11783,9565,9229,8683,9358,7654,6989,8508,9102,11171,11689,12315,12013,8815,11046,10281,10382,8691,7453,8842,11060,12612,12940,14943,14158,12294,12688,10553,11240,8735,7229,9331,10694,12139,14398,14454,13968,12676,13586,10923,12943,9224,8438,11530,12102,13253,16197,18239,15528,15231,15550,11956,14151,10433,10052,12392,13286,15538,18823,17049,18156,15471,14629,14470,15053,12067,10277,14027,13600,17285,18955,17290,18820,15485,16665,15493,15212,12948,10551,13507,15802,17839,19506,19718,20083,15523,17194,15586,15536,
44,Ohio,7,10960,12157,12968,14090,13949,12692,12247,12422,9073,9874,7283,7652,9741,10269,10305,12576,13008,12180,12048,12660,11363,10939,7738,7388,10999,12041,13242,14559,10394,10267,10443,9408,8693,9498,7888,7307,10440,10122,11033,12142,11085,12025,11030,10149,9336,9623,8295,8363,10543,10439,11808,12456,11628,12006,9993,11516,10085,10119,9614,8947,11302,12559,14502,15364,16072,15786,13258,13911,11736,10996,8988,8349,10040,11489,13398,14751,14891,13114,13621,14004,10924,12548,9525,9532,12971,14037,15016,17798,17324,16391,15114,14606,11052,12100,10697,10568,13132,14354,16458,19347,17156,18428,16917,15433,14411,14585,11552,10883,15581,15339,18760,20631,18160,20503,17651,17934,16032,14894,12581,11251,15591,16769,18787,20442,20085,21047,16945,17830,16673,15371,
30,Michigan,8,9498,10773,11607,11891,12386,12107,12222,13113,10242,9519,9591,8303,10608,11374,11747,12365,14008,13180,13139,12858,13396,12068,10512,9431,11853,12651,12579,14236,11424,11255,11888,11605,12605,10330,10327,8870,11525,10774,11233,12374,11713,14628,12773,11844,16288,10506,10692,10663,11855,11246,13464,13749,13322,15097,13510,16635,22041,12254,13401,11386,12183,13272,15174,15760,16442,17104,16829,17812,21451,1.30E+04,12194,10038,10683,12273,13438,14969,16253,15633,16052,17707,19532,14594,11804,9765,12272,13579,13315,18138,16664,17495,17013,18114,19045,13400,12750,11336,13234,13528,15906,18461,17242,19612,19544,15354,14945,13870,13834,11070,14668,13069,17687,20150,17718,20951,18380,18523,16222,13527,13918,10335,13255,14349,17250,18364,19509,20966,17952,19789,16271,13706,
16,Georgia,9,12594,13601,13457,13491,14148,12946,12651,13079,9681,10725,8109,7633,10957,9996,10056,11984,12389,11967,10796,11153,10642,11532,7590,8656,11789,11658,11543,12475,9929,9904,11183,11339,10304,10513,9223,9167,11835,10534,12722,13454,13175,16777,18031,17002,16576,15900,16992,17820,20667,21402,23297,25434,23594,24595,21016,22110,20663,19131,20245,18968,21699,23120,24545,24611,24566,25072,21116,21311,18873,17607,18388,16841,20661,20664,23477,23130,23411,23307,21219,21293,18113,18547,17488,16789,20685,23171,16533,18912,17692,16968,20722,18666,12318,18678,16375,17873,22023,22690,24384,27810,21116,22299,20104,18225,17056,18254,12614,13061,19022,16960,20882,21313,18195,20021,16945,16856,15892,17022,12832,14420,18543,19608,21497,22210,20250,22284,17079,18018,17009,16871,
36,North Carolina,10,9381,10154,11085,11104,10940,9847,8474,8203,5849,6783,5223,5933,7365,7502,8128,9485,9928,8646,8679,8910,8170,7980,5438,5926,8569,9667,9886,10884,8007,7613,7339,6798,6209,7702,5588,5709,8016,7847,8190,9206,7855,8595,7451,6519,6339,7086,5749,6530,8072,7935,9355,9440,8442,8721,7321,7946,7656,8591,7168,7299,9309,10648,12138,11845,12057,11928,9773,10034,8807,9357,7738,7639,9665,10566,12172,12501,12636,11474,10063,11213,8848,10831,8062,8263,11627,9906,10378,14461,14897,12748,12147,11550,8623,10606,8774,10016,12941,14089,15744,17790,15577,16572,14805,13507,13916,14239,11542,11476,16561,15338,17740,19838,16897,18665,16650,16229,14627,14681,11723,11903,15891,17081,19382,19869,18185,19737,13555,15934,14158,13266,
